id,tapahtumaAika,vuosi,kuukausi,x,y,kunta,kuntaNimi,maakunta,maakuntaNimi,tielaji,tielajis,tieNumero,tieYllapito,tieYllapitoNimi,riistalaji,riistalajiNimi
114,2017-12-13T17:15:00.000+02:00,2017,12,327701.033,6812047.157,418,Lempäälä,06,Pirkanmaa,1,Moottoritie,3,1,Valtio,47507,Metsäkauris
115,2017-08-28T22:00:00.000+03:00,2017,08,319426.43,6664360.848,710,Raasepori,01,Uusimaa,4,Kantatie,51,1,Valtio,47503,Hirvi
116,2017-08-29T19:40:00.000+03:00,2017,08,313232.209,6661898.494,710,Raasepori,01,Uusimaa,9,Yksityinen tie,,99,Ei tietoa,47507,Metsäkauris
117,2017-06-04T04:00:00.000+03:00,2017,06,326983.313,6813972.572,418,Lempäälä,06,Pirkanmaa,1,Moottoritie,3,1,Valtio,47507,Metsäkauris
118,2017-09-19T16:00:00.000+03:00,2017,09,315652.498,6663380.682,710,Raasepori,01,Uusimaa,3,Valtatie,25,1,Valtio,47629,Valkohäntäpeura
119,2017-06-07T02:00:00.000+03:00,2017,06,326918.7,6815146.933,418,Lempäälä,06,Pirkanmaa,1,Moottoritie,3,1,Valtio,47507,Metsäkauris
120,2017-09-24T17:00:00.000+03:00,2017,09,317533.003,6664696.18,710,Raasepori,01,Uusimaa,4,Kantatie,51,1,Valtio,47629,Valkohäntäpeura
121,2017-06-08T12:00:00.000+03:00,2017,06,326744.934,6813872.948,418,Lempäälä,06,Pirkanmaa,9,Yksityinen tie,,3,Yksityinen,47629,Valkohäntäpeura
122,2017-09-28T19:30:00.000+03:00,2017,09,312689.389,6661511.372,710,Raasepori,01,Uusimaa,3,Valtatie,25,1,Valtio,47629,Valkohäntäpeura
123,2017-12-27T19:30:00.000+02:00,2017,12,450838.244,6702391.956,434,Loviisa,01,Uusimaa,5,Seututie,170,1,Valtio,47629,Valkohäntäpeura
124,2017-07-24T08:00:00.000+03:00,2017,07,328704.144,6811469.737,418,Lempäälä,06,Pirkanmaa,9,Yksityinen tie,,3,Yksityinen,47507,Metsäkauris
125,2017-10-01T21:00:00.000+03:00,2017,10,316223.131,6661756.478,710,Raasepori,01,Uusimaa,6,Muu maantie,1103,1,Valtio,47629,Valkohäntäpeura
126,2017-12-26T19:30:00.000+02:00,2017,12,450820.584,6702369.004,434,Loviisa,01,Uusimaa,6,Muu maantie,70170,99,Ei tietoa,47507,Metsäkauris
127,2017-07-26T16:00:00.000+03:00,2017,07,326714.093,6811758.58,418,Lempäälä,06,Pirkanmaa,9,Yksityinen tie,,99,Ei tietoa,47507,Metsäkauris
128,2017-10-20T16:00:00.000+03:00,2017,10,318721.487,6664552.547,710,Raasepori,01,Uusimaa,9,Yksityinen tie,,99,Ei tietoa,47629,Valkohäntäpeura
129,2017-12-12T17:30:00.000+02:00,2017,12,450213.764,6702355.675,434,Loviisa,01,Uusimaa,5,Seututie,170,1,Valtio,47503,Hirvi
130,2017-12-05T19:30:00.000+02:00,2017,12,449939.782,6702439.773,434,Loviisa,01,Uusimaa,5,Seututie,170,1,Valtio,47629,Valkohäntäpeura
131,2017-11-03T18:00:00.000+02:00,2017,11,327424.114,6809988.231,418,Lempäälä,06,Pirkanmaa,8,Kunnan tie,,2,Kunta,47507,Metsäkauris
132,2017-10-23T15:20:00.000+03:00,2017,10,316014.551,6671550.192,710,Raasepori,01,Uusimaa,6,Muu maantie,1015,1,Valtio,47629,Valkohäntäpeura
133,2017-10-30T15:30:00.000+02:00,2017,10,322218.801,6663277.027,710,Raasepori,01,Uusimaa,9,Yksityinen tie,,99,Ei tietoa,47629,Valkohäntäpeura
134,2017-12-26T18:30:00.000+02:00,2017,12,440623.847,6823317.916,781,Sysmä,07,Päijät-Häme,5,Seututie,413,1,Valtio,47629,Valkohäntäpeura
135,2017-11-07T17:50:00.000+02:00,2017,11,325652.859,6670418.501,149,Inkoo,01,Uusimaa,3,Valtatie,25,1,Valtio,47503,Hirvi
136,2017-12-22T19:00:00.000+02:00,2017,12,435276.709,6821839.364,781,Sysmä,07,Päijät-Häme,5,Seututie,413,1,Valtio,47629,Valkohäntäpeura
137,2017-11-08T18:00:00.000+02:00,2017,11,322113.478,6674117.281,710,Raasepori,01,Uusimaa,5,Seututie,186,1,Valtio,47629,Valkohäntäpeura
138,2017-11-11T15:50:00.000+02:00,2017,11,317975.008,6664538.699,710,Raasepori,01,Uusimaa,9,Yksityinen tie,,3,Yksityinen,47629,Valkohäntäpeura
139,2017-12-05T16:14:00.000+02:00,2017,12,517574.141,6752972.563,441,Luumäki,09,Etelä-Karjala,9,Yksityinen tie,,99,Ei tietoa,47503,Hirvi
140,2017-12-11T16:54:00.000+02:00,2017,12,526757.611,6753818.262,441,Luumäki,09,Etelä-Karjala,3,Valtatie,6,1,Valtio,47503,Hirvi
141,2017-12-14T06:33:00.000+02:00,2017,12,531108.971,6753232.921,441,Luumäki,09,Etelä-Karjala,3,Valtatie,26,1,Valtio,47503,Hirvi
142,2017-10-31T16:55:00.000+02:00,2017,10,527543.89,6750244.583,441,Luumäki,09,Etelä-Karjala,3,Valtatie,26,1,Valtio,47629,Valkohäntäpeura
143,2017-08-25T19:30:00.000+03:00,2017,08,434929.676,6815466.518,781,Sysmä,07,Päijät-Häme,7,Puuttuu,,1,Valtio,47503,Hirvi
144,2017-10-19T11:45:00.000+03:00,2017,10,517941.203,6753120.505,441,Luumäki,09,Etelä-Karjala,9,Yksityinen tie,,3,Yksityinen,47503,Hirvi
145,2017-11-12T20:30:00.000+02:00,2017,11,322621.55,6663219.796,710,Raasepori,01,Uusimaa,6,Muu maantie,11078,1,Valtio,47629,Valkohäntäpeura
146,2017-11-14T21:00:00.000+02:00,2017,11,316085.28,6668422.219,710,Raasepori,01,Uusimaa,6,Muu maantie,1015,1,Valtio,47629,Valkohäntäpeura
147,2017-11-28T20:00:00.000+02:00,2017,11,317226.252,6664449.853,710,Raasepori,01,Uusimaa,9,Yksityinen tie,,3,Yksityinen,47629,Valkohäntäpeura
148,2017-11-28T19:30:00.000+02:00,2017,11,320815.306,6667296.192,710,Raasepori,01,Uusimaa,3,Valtatie,25,1,Valtio,47629,Valkohäntäpeura
149,2017-12-13T17:10:00.000+02:00,2017,12,317751.142,6664619.185,710,Raasepori,01,Uusimaa,7,Puuttuu,,1,Valtio,47629,Valkohäntäpeura
150,2017-09-07T23:30:00.000+03:00,2017,09,370908.793,7079338.17,849,Toholampi,16,Keski-Pohjanmaa,4,Kantatie,63,1,Valtio,47503,Hirvi
151,2017-08-13T13:10:00.000+03:00,2017,08,357666.284,7066788.266,849,Toholampi,16,Keski-Pohjanmaa,4,Kantatie,63,1,Valtio,200556,Metsäpeura
152,2017-01-01T22:15:00.000+02:00,2017,01,479215.427,7238336.041,615,Pudasjärvi,17,Pohjois-Pohjanmaa,3,Valtatie,20,1,Valtio,47503,Hirvi
153,2017-02-06T07:45:00.000+02:00,2017,02,583732.991,6777281.849,405,Lappeenranta,09,Etelä-Karjala,9,Yksityinen tie,,3,Yksityinen,47507,Metsäkauris
154,2017-10-11T17:30:00.000+03:00,2017,10,412656.446,7094397.961,535,Nivala,17,Pohjois-Pohjanmaa,3,Valtatie,28,1,Valtio,47507,Metsäkauris
155,2017-05-19T08:30:00.000+03:00,2017,05,393285.524,7096115.066,535,Nivala,17,Pohjois-Pohjanmaa,3,Valtatie,27,1,Valtio,47507,Metsäkauris
156,2017-09-08T19:15:00.000+03:00,2017,09,406482.291,7094203.979,535,Nivala,17,Pohjois-Pohjanmaa,3,Valtatie,28,1,Valtio,47507,Metsäkauris
157,2017-06-13T17:30:00.000+03:00,2017,06,404300.025,7085480.575,535,Nivala,17,Pohjois-Pohjanmaa,3,Valtatie,27,1,Valtio,47507,Metsäkauris
158,2017-10-02T08:00:00.000+03:00,2017,10,206976.371,6748552.658,895,Uusikaupunki,02,Varsinais-Suomi,6,Muu maantie,12477,1,Valtio,47629,Valkohäntäpeura
159,2017-04-25T05:05:00.000+03:00,2017,04,212550.297,6768703.707,400,Laitila,02,Varsinais-Suomi,6,Muu maantie,12509,1,Valtio,47629,Valkohäntäpeura
160,2017-01-28T06:35:00.000+02:00,2017,01,386142.398,6740617.551,086,Hausjärvi,05,Kanta-Häme,9,Yksityinen tie,,99,Ei tietoa,47629,Valkohäntäpeura
