"Municipal key figures 1987-2023"

"Föglö";"Share of jobs in secondary production, %";.
"Föglö";"Share of jobs in services, %";.
"Geta";"Population";509
"Geta";"Population change from the previous year, %";0.4
"Geta";"Persons aged under 15, %";16.1
"Geta";"Persons aged 15 to 64, %";58.2
"Geta";"Persons aged 64 or over, %";25.7
"Geta";"Swedish-speaking, %";83.5
"Geta";"Foreign citizens, %";14.1
"Geta";"Degree of urbanisation, %";.
"Geta";"Excess of births, persons";-3
"Geta";"Intermunicipal migration gain/loss, persons";-1
"Geta";"Families";141
"Geta";"Household-dwelling units";236
"Geta";"Household-dwelling units living in terraced houses and detached houses, %";96.6
"Geta";"Household-dwelling units living in rental dwellings, %";.
"Geta";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Geta";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Geta";"Economic dependency ratio";.
"Geta";"Workplace self-sufficiency";.
"Geta";"Employed labour force resident in the area";.
"Geta";"Employment rate of persons aged 20 to 64, %";.
"Geta";"Employees working in their municipality of residence, share of employed persons, %";.
"Geta";"Share of unemployed persons in the labour force, %";.
"Geta";"Share of pensioners in the population, %";.
"Geta";"Jobs in the area";.
"Geta";"Share of jobs in primary production, %";.
"Geta";"Share of jobs in secondary production, %";.
"Geta";"Share of jobs in services, %";.
"Haapajärvi";"Population";6558
"Haapajärvi";"Population change from the previous year, %";-1.9
"Haapajärvi";"Persons aged under 15, %";17.2
"Haapajärvi";"Persons aged 15 to 64, %";55.0
"Haapajärvi";"Persons aged 64 or over, %";27.8
"Haapajärvi";"Swedish-speaking, %";0.1
"Haapajärvi";"Foreign citizens, %";1.4
"Haapajärvi";"Degree of urbanisation, %";.
"Haapajärvi";"Excess of births, persons";-44
"Haapajärvi";"Intermunicipal migration gain/loss, persons";-106
"Haapajärvi";"Families";1718
"Haapajärvi";"Household-dwelling units";3108
"Haapajärvi";"Household-dwelling units living in terraced houses and detached houses, %";83.2
"Haapajärvi";"Household-dwelling units living in rental dwellings, %";.
"Haapajärvi";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Haapajärvi";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Haapajärvi";"Economic dependency ratio";.
"Haapajärvi";"Workplace self-sufficiency";.
"Haapajärvi";"Employed labour force resident in the area";.
"Haapajärvi";"Employment rate of persons aged 20 to 64, %";.
"Haapajärvi";"Employees working in their municipality of residence, share of employed persons, %";.
"Haapajärvi";"Share of unemployed persons in the labour force, %";.
"Haapajärvi";"Share of pensioners in the population, %";.
"Haapajärvi";"Jobs in the area";.
"Haapajärvi";"Share of jobs in primary production, %";.
"Haapajärvi";"Share of jobs in secondary production, %";.
"Haapajärvi";"Share of jobs in services, %";.
"Haapavesi";"Population";6473
"Haapavesi";"Population change from the previous year, %";-1.8
"Haapavesi";"Persons aged under 15, %";18.6
"Haapavesi";"Persons aged 15 to 64, %";55.5
"Haapavesi";"Persons aged 64 or over, %";25.8
